id,nombre,apellido,email,tipo_zapato,material_zapato,color_zapato,precio
97916,Douglas,Perez,DouglasPerez28@gmail.com,tacones de aguja,tela,marrón,90
67691,Tiffany,O'neill,TiffanyO'neill51@gmail.com,plataformas,cuero,azul marino,94
72818,Susan,Rivas,Susan.Rivas@gmail.com,sandalias,cuero sintético,blanco,96
28080,Angela,Hopper,AngelaHopper62@outlook.com,tacones de aguja,cuero,rojo,96
89958,Thomas,Benjamin,TBenjamin1981@gmail.com,sandalias,cuero sintético,azul marino,97
11853,Jonathan,Park,JP1285@gmail.com,plataformas,tela,blanco,98
73682,Christine,Adkins,ChristineAdkins83@gmail.com,tacones de aguja,cuero sintético,rojo,99
52634,Cynthia,Tanner,CTanner1976@gmail.com,tacones de aguja,cuero sintético,azul marino,99
33847,Walter,Fitzgerald,WalterFitzgerald65@gmail.com,ballet flats,cuero,blanco,101
25964,Carl,Garcia,CarlGarcia53@gmail.com,plataformas,cuero sintético,blanco,101
42625,Louis,Bradford,LB4075@gmail.com,sandalias,cuero sintético,rojo,104
34994,Karen,Hobbs,KHobbs1995@outlook.com,tacones de aguja,tela,black,107
51530,Alexander,Franks,AlexanderFranks54@gmail.com,tacones de aguja,tela,blanco,113
60605,Jacqueline,Petty,JacquelinePetty33@gmail.com,plataformas,cuero,azul marino,113
76001,Anna,Garrett,AnnaGarrett50@outlook.com,ballet flats,cuero,rojo,116
47829,Martha,Moreno,MM5252@gmail.com,ballet flats,tela,marrón,117
34376,Kenneth,Hess,KHess1987@gmail.com,tacones de aguja,tela,azul marino,119
83849,Ashley,Steele,ASteele1996@yahoo.com,ballet flats,cuero,rojo,119
27329,Steven,Bryant,Steven.Bryant@gmail.com,ballet flats,cuero sintético,rojo,121
34854,Kenneth,Cash,KennethCash47@outlook.com,tacones de aguja,cuero sintético,black,121
51997,Kyle,Dodson,Kyle.Dodson@gmail.com,tacones de aguja,cuero sintético,black,126
32398,Patricia,Carter,PCarter1994@gmail.com,sandalias,cuero,azul marino,128
16094,Donna,Slater,DonnaSlater28@gmail.com,plataformas,tela,marrón,130
97706,Jean,Grimes,Jean.Grimes@outlook.com,sandalias,cuero sintético,black,130
77660,Bruce,White,Bruce.White@gmail.com,plataformas,cuero sintético,blanco,131
68636,Eugene,Suarez,EugeneSuarez26@yahoo.com,tacones de aguja,cuero sintético,rojo,136
49991,Brian,Parrish,BP4483@gmail.com,tacones de aguja,cuero sintético,rojo,136
33738,Peter,Weber,PW3481@gmail.com,ballet flats,cuero,azul marino,137
14646,Rebecca,Byrd,RebeccaByrd96@hotmail.com,ballet flats,cuero sintético,marrón,137
72039,Wayne,Booth,WayneBooth94@gmail.com,sandalias,tela,rojo,138
45896,Jonathan,Horton,JH4273@gmail.com,sandalias,cuero sintético,blanco,139
78272,Jeremy,Frye,Jeremy.Frye@gmail.com,ballet flats,tela,blanco,140
63778,Austin,Sharpe,Austin.Sharpe@gmail.com,tacones de aguja,tela,rojo,142
94157,Daniel,Nelson,DanielNelson43@hotmail.com,sandalias,tela,rojo,143
51738,Noah,Buchanan,NB2260@outlook.com,tacones de aguja,cuero,azul marino,148
45325,Joseph,Rollins,JosephRollins51@hotmail.com,tacones de aguja,cuero sintético,rojo,149
78994,Billy,Shields,BillyShields50@outlook.com,tacones de aguja,cuero sintético,marrón,153
72282,Betty,Duran,BDuran1992@hotmail.com,sandalias,cuero sintético,azul marino,162
79129,David,Schroeder,DS5663@gmail.com,sandalias,tela,azul marino,164
67770,Timothy,Booker,TB7698@outlook.com,sandalias,tela,rojo,165
53574,Christine,Craft,ChristineCraft49@gmail.com,ballet flats,cuero sintético,azul marino,166
78499,Lori,West,LW6742@gmail.com,ballet flats,cuero,rojo,166
84147,Nathan,Hartman,Nathan.Hartman@gmail.com,sandalias,cuero sintético,rojo,173
49223,Andrew,Mills,Andrew.Mills@gmail.com,sandalias,cuero sintético,blanco,177
72971,Alan,Guthrie,AlanGuthrie41@hotmail.com,ballet flats,cuero,rojo,179
79527,Albert,Johns,AJohns1973@gmail.com,ballet flats,cuero sintético,azul marino,180
49212,Sandra,Hood,SHood1970@gmail.com,sandalias,tela,blanco,181
96090,Bobby,Wyatt,Bobby.Wyatt@outlook.com,sandalias,cuero sintético,rojo,189
95846,William,Whitney,WWhitney1997@outlook.com,plataformas,cuero sintético,rojo,189
34182,Justin,Maddox,JM3330@gmail.com,tacones de aguja,cuero sintético,azul marino,191
33728,Maria,Avery,MA2484@gmail.com,plataformas,cuero sintético,blanco,195
89390,Virginia,Bender,VB4991@outlook.com,sandalias,cuero,rojo,195
63429,Gregory,Head,GregoryHead36@outlook.com,tacones de aguja,cuero,rojo,196
84051,Catherine,Cote,CCote1972@gmail.com,sandalias,tela,rojo,199
30364,Hannah,Espinoza,Hannah.Espinoza@gmail.com,plataformas,cuero sintético,azul marino,200
27538,Carol,Ferguson,CF5797@gmail.com,ballet flats,cuero,marrón,201
65254,Betty,Daugherty,BD7840@gmail.com,tacones de aguja,tela,marrón,205
44917,Christopher,Morton,ChristopherMorton1@gmail.com,plataformas,tela,marrón,209
20071,Doris,Mann,DorisMann35@gmail.com,plataformas,cuero sintético,marrón,209
88699,Noah,Rivera,Noah.Rivera@gmail.com,tacones de aguja,cuero,rojo,209
95323,Alice,Kinney,Alice.Kinney@gmail.com,plataformas,cuero,blanco,210
90334,Joshua,Huff,JHuff1984@gmail.com,tacones de aguja,tela,marrón,211
94939,Rebecca,Russo,RebeccaRusso43@gmail.com,ballet flats,tela,marrón,218
82690,Tyler,Combs,TC2777@gmail.com,ballet flats,cuero sintético,azul marino,221
50410,Julie,Boone,Julie.Boone@hotmail.com,sandalias,tela,azul marino,221
23323,Russell,Galloway,Russell.Galloway@gmail.com,ballet flats,cuero,blanco,224
78159,Kayla,Dyer,KDyer1997@gmail.com,sandalias,cuero,blanco,225
66767,Ann,Crosby,AC7606@gmail.com,tacones de aguja,cuero sintético,blanco,227
19878,Theresa,Lee,TheresaLee91@gmail.com,plataformas,tela,azul marino,228
26747,Sarah,Rutledge,SarahRutledge64@gmail.com,plataformas,cuero sintético,azul marino,233
36552,Julia,Gates,Julia.Gates@gmail.com,plataformas,tela,blanco,239
52508,Aaron,Maddox,AMaddox1985@gmail.com,sandalias,cuero,blanco,241
11710,Emily,Montoya,EmilyMontoya68@gmail.com,ballet flats,cuero sintético,azul marino,243
38580,Joyce,Castaneda,JC2922@gmail.com,plataformas,tela,blanco,245
84082,Natalie,Chang,Natalie.Chang@outlook.com,plataformas,cuero,marrón,248
35391,Ann,Woods,AnnWoods53@gmail.com,sandalias,tela,marrón,248
39993,Keith,Underwood,KeithUnderwood85@gmail.com,tacones de aguja,tela,marrón,248
20450,Kayla,Phelps,KPhelps1980@gmail.com,sandalias,cuero,azul marino,248
81902,Donald,Hernandez,DHernandez1984@gmail.com,tacones de aguja,cuero,rojo,250
57554,Jacob,Gilliam,JacobGilliam19@gmail.com,ballet flats,cuero sintético,marrón,253
45645,Jean,Wilder,JWilder1988@gmail.com,ballet flats,tela,rojo,256
32796,Paul,Mitchell,Paul.Mitchell@gmail.com,plataformas,tela,blanco,257
56624,Scott,Howell,ScottHowell97@gmail.com,sandalias,cuero,azul marino,257
33639,Natalie,Gay,NGay1990@gmail.com,ballet flats,cuero,rojo,257
24449,Edward,King,Edward.King@gmail.com,plataformas,cuero sintético,blanco,258
56103,Kathryn,Matthews,Kathryn.Matthews@gmail.com,sandalias,cuero sintético,azul marino,259
53616,Heather,Burris,Heather.Burris@gmail.com,tacones de aguja,cuero,black,263
10262,Lawrence,Weiss,Lawrence.Weiss@gmail.com,plataformas,cuero sintético,blanco,263
52016,Frances,Terrell,FrancesTerrell68@gmail.com,sandalias,cuero,blanco,264
90077,Michael,Copeland,Michael.Copeland@gmail.com,ballet flats,cuero,blanco,265
52033,Jack,Higgins,JHiggins1978@gmail.com,sandalias,tela,azul marino,265
82583,Brian,Carver,Brian.Carver@gmail.com,ballet flats,tela,blanco,265
71943,Tiffany,Maynard,TM6582@gmail.com,tacones de aguja,tela,rojo,266
39388,Ashley,Martin,Ashley.Martin@outlook.com,sandalias,cuero sintético,marrón,274
17697,Dylan,Short,DylanShort88@gmail.com,tacones de aguja,cuero sintético,rojo,279
30400,Doris,Camacho,DorisCamacho9@gmail.com,ballet flats,cuero,marrón,280
74726,Willie,Reese,Willie.Reese@gmail.com,tacones de aguja,cuero sintético,marrón,284
63935,George,Ford,George.Ford@gmail.com,ballet flats,cuero,azul marino,284
31134,Aaron,Mcleod,AMcleod1971@gmail.com,tacones de aguja,tela,marrón,286
75213,Debra,Mccormick,DMccormick1981@yahoo.com,tacones de aguja,cuero sintético,rojo,288
26925,Samantha,Gross,SG3412@gmail.com,plataformas,tela,marrón,292
59502,Jennifer,Cummings,JC7055@gmail.com,tacones de aguja,tela,marrón,293
85679,Sarah,Valdez,Sarah.Valdez@gmail.com,ballet flats,tela,azul marino,298
38860,James,Key,James.Key@gmail.com,plataformas,cuero,azul marino,306
36029,Mary,Barnett,Mary.Barnett@gmail.com,plataformas,cuero,blanco,309
28879,Jose,Sherman,JS1110@gmail.com,sandalias,cuero sintético,marrón,313
91689,Joseph,Copeland,JCopeland1978@gmail.com,ballet flats,cuero,marrón,314
74878,Ruth,Morales,RM4840@gmail.com,tacones de aguja,cuero,marrón,319
10538,Gregory,Leach,Gregory.Leach@gmail.com,plataformas,cuero sintético,azul marino,319
36038,Nicole,Guerra,NicoleGuerra24@gmail.com,plataformas,tela,azul marino,324
12323,David,Contreras,David.Contreras@gmail.com,plataformas,tela,azul marino,326
11024,Theresa,Robbins,TheresaRobbins21@gmail.com,sandalias,tela,rojo,326
67834,Amy,Baldwin,ABaldwin1978@gmail.com,tacones de aguja,cuero sintético,black,326
23618,Pamela,Wolf,PamelaWolf46@yahoo.com,ballet flats,cuero,azul marino,328
94538,William,Duran,WD5804@gmail.com,plataformas,tela,azul marino,328
12868,Michelle,Calderon,Michelle.Calderon@hotmail.com,sandalias,cuero,blanco,328
76642,Ryan,Clarke,RC5922@gmail.com,tacones de aguja,tela,marrón,329
49435,Brenda,Brock,BB4163@gmail.com,tacones de aguja,cuero sintético,black,330
67701,Douglas,Barrett,Douglas.Barrett@gmail.com,plataformas,cuero sintético,marrón,334
14281,Kenneth,Fitzgerald,KennethFitzgerald35@gmail.com,ballet flats,cuero sintético,azul marino,335
31432,Daniel,Briggs,DB7755@gmail.com,ballet flats,tela,azul marino,335
58309,Henry,Nichols,Henry.Nichols@gmail.com,plataformas,tela,rojo,335
49338,Larry,Dixon,Larry.Dixon@outlook.com,plataformas,cuero,marrón,338
62617,Alan,Hoffman,Alan.Hoffman@gmail.com,tacones de aguja,cuero,blanco,338
65110,Russell,Morrow,RM7744@gmail.com,tacones de aguja,cuero,rojo,339
73565,Michelle,Vaughan,MVaughan1980@gmail.com,tacones de aguja,tela,marrón,341
45194,Laura,Reese,LR3650@outlook.com,plataformas,cuero sintético,marrón,343
15964,Charles,Buchanan,CharlesBuchanan97@gmail.com,sandalias,cuero sintético,black,346
64285,Gregory,Clements,Gregory.Clements@outlook.com,tacones de aguja,cuero sintético,marrón,353
42499,Richard,Wall,Richard.Wall@gmail.com,ballet flats,cuero,rojo,353
68081,Walter,Blackburn,WBlackburn1987@gmail.com,sandalias,cuero,marrón,354
61010,Daniel,Pitts,DP4131@gmail.com,sandalias,tela,azul marino,355
86911,Louis,Hendricks,Louis.Hendricks@gmail.com,plataformas,tela,marrón,355
12120,Douglas,Velez,DV8433@gmail.com,sandalias,tela,blanco,357
24881,Marie,Callahan,Marie.Callahan@gmail.com,plataformas,cuero,azul marino,358
91329,Tiffany,Bryant,TB2982@outlook.com,ballet flats,cuero,azul marino,358
21781,Jeffrey,Graves,JG9709@gmail.com,plataformas,cuero,blanco,359
67869,Madison,Santiago,MadisonSantiago65@gmail.com,plataformas,cuero,azul marino,361
46058,Jesse,Beard,JB7732@outlook.com,ballet flats,cuero,marrón,363
41158,Elizabeth,Duffy,ED4195@gmail.com,ballet flats,cuero,azul marino,364
64126,Marilyn,Schneider,MS6235@gmail.com,tacones de aguja,cuero,azul marino,366
12578,Gary,Matthews,GaryMatthews3@gmail.com,plataformas,cuero sintético,blanco,366
91114,Peter,Harding,PH5153@outlook.com,ballet flats,cuero sintético,marrón,367
40209,Keith,Small,KSmall1972@hotmail.com,ballet flats,cuero sintético,rojo,368
95910,Roger,Patel,RPatel1977@gmail.com,plataformas,cuero sintético,azul marino,376
38225,Billy,Mcfadden,BM9740@gmail.com,plataformas,cuero sintético,rojo,376
93079,Kevin,Lara,KevinLara29@hotmail.com,sandalias,cuero,rojo,377
73531,Bryan,Coffey,BCoffey1979@gmail.com,ballet flats,cuero sintético,azul marino,379
90461,Larry,Mccormick,Larry.Mccormick@gmail.com,sandalias,tela,marrón,383
32521,Philip,Watson,Philip.Watson@gmail.com,sandalias,tela,rojo,384
15632,Justin,Singleton,JS6672@gmail.com,tacones de aguja,cuero sintético,rojo,388
17293,Jeffrey,Giles,JGiles1977@gmail.com,sandalias,tela,marrón,390
51599,Roger,Cameron,RCameron1990@gmail.com,ballet flats,cuero,rojo,395
48127,Benjamin,Dale,BDale1997@gmail.com,ballet flats,cuero sintético,azul marino,397
81484,Nicholas,Lawson,NicholasLawson27@gmail.com,tacones de aguja,tela,marrón,399
36852,Evelyn,Sellers,EvelynSellers10@gmail.com,plataformas,cuero,blanco,400
33804,Kayla,Bray,KaylaBray28@gmail.com,ballet flats,cuero sintético,marrón,400
48045,Matthew,Morris,MM2906@gmail.com,plataformas,cuero,marrón,401
76050,Austin,Maldonado,Austin.Maldonado@gmail.com,plataformas,cuero,azul marino,402
59855,Tyler,Dillon,TylerDillon24@gmail.com,sandalias,cuero sintético,rojo,403
55541,Catherine,Wiggins,CW4370@gmail.com,ballet flats,tela,black,404
35832,Eugene,James,EJ2296@gmail.com,plataformas,cuero,marrón,407
50348,Alexis,Noble,AlexisNoble82@gmail.com,plataformas,cuero,azul marino,411
93197,Jean,Callahan,JeanCallahan82@gmail.com,sandalias,tela,marrón,411
38069,Douglas,Dodson,DDodson1994@hotmail.com,tacones de aguja,cuero sintético,black,411
56261,Tyler,Carroll,Tyler.Carroll@outlook.com,ballet flats,cuero,azul marino,411
52535,Bruce,Frazier,BruceFrazier48@gmail.com,tacones de aguja,cuero,marrón,412
